LINEUP	TM	MIN	PTS	2PTM	2PTA	2PT%	FGM	FGA	FG%	3PTM	3PTA	3PT%	FTM	FTA	FT%	OR	DR	TR	AST	TO	ST	BLK	BLKA	PF	DF	VAL	+ / -
W. Matthews, B. Bogdanovic, B. Fernando, D. Hunter, T. Forrest	ATL	4	3	0	1	0	1	5	20	1	4	25	0	0	0	0	3	3	1	3	0	0	0	3	0	0	-5
W. Matthews, D. Murray, G. Mathews, O. Okongwu, V. Krejci	ATL	4	15	4	9	44.44444444	5	11	45.5	1	2	50	4	6	66.7	1	2	3	2	1	1	0	3	3	3	0	3
B. Bogdanovic, D. Murray, B. Fernando, S. Bey, T. Forrest	ATL	4	9	4	5	80	4	5	80	0	0	0	1	5	20	0	4	4	2	1	0	0	0	0	3	0	0
W. Matthews, B. Fernando, G. Mathews, T. Forrest, A. Griffin	ATL	4	2	1	9	11.11111111	1	13	7.7	0	4	0	0	0	0	3	4	7	0	2	0	0	6	1	0	0	0
P. Mills, C. Capela, D. Murray, G. Mathews, O. Okongwu	ATL	4	18	6	6	100	7	8	87.5	1	2	50	3	3	100	0	4	4	4	0	0	1	0	0	1	0	7
P. Mills, W. Matthews, D. Murray, D. Hunter, O. Okongwu	ATL	4	11	3	5	60	4	8	50	1	3	33.3	2	2	100	1	4	5	3	0	0	1	1	2	1	0	0
W. Matthews, B. Bogdanovic, B. Fernando, G. Mathews, K. Bufkin	ATL	4	8	2	4	50	2	6	33.3	0	2	0	4	4	100	1	1	2	1	2	1	0	1	2	3	0	-3
B. Bogdanovic, O. Okongwu, S. Bey, T. Forrest, A. Griffin	ATL	4	9	2	4	50	3	9	33.3	1	5	20	2	2	100	1	2	3	1	0	1	0	1	2	1	0	-5
P. Mills, B. Fernando, T. Forrest, A. Griffin, S. Lundy	ATL	4	6	2	2	100	2	5	40	0	3	0	2	2	100	0	1	1	1	0	1	1	0	0	1	0	2
W. Matthews, B. Bogdanovic, D. Murray, B. Fernando, D. Hunter	ATL	4	4	2	4	50	2	6	33.3	0	2	0	0	1	0	2	3	5	1	2	0	0	0	2	2	0	-6
C. Capela, D. Murray, G. Mathews, V. Krejci, J. Johnson	ATL	4	13	2	4	50	4	7	57.1	2	3	66.7	3	4	75	1	1	2	3	0	0	0	0	2	2	0	-4
C. Capela, B. Bogdanovic, T. Young, G. Mathews, J. Johnson	ATL	4	11	2	2	100	3	8	37.5	1	6	16.7	4	5	80	1	4	5	1	0	0	0	0	0	2	0	2
P. Mills, T. Young, O. Okongwu, S. Bey, J. Johnson	ATL	4	10	5	7	71.42857143	5	9	55.6	0	2	0	0	0	0	1	2	3	3	1	0	0	0	2	0	0	0
B. Bogdanovic, D. Murray, G. Mathews, S. Bey, J. Johnson	ATL	4	2	0	1	0	0	6	0	0	5	0	2	2	100	0	1	1	0	2	0	0	0	2	1	0	-8
B. Bogdanovic, G. Mathews, O. Okongwu, S. Bey, T. Forrest	ATL	4	10	3	5	60	4	7	57.1	1	2	50	1	2	50	1	2	3	4	1	0	1	0	5	2	0	0
W. Matthews, D. Hunter, O. Okongwu, T. Forrest, J. Johnson	ATL	3	10	3	4	75	4	7	57.1	1	3	33.3	1	1	100	0	2	2	4	0	1	0	0	0	1	0	-4
C. Capela, B. Bogdanovic, T. Young, D. Hunter, S. Bey	ATL	3	11	2	3	66.66666667	4	6	66.7	2	3	66.7	1	1	100	0	1	1	3	1	0	0	0	2	1	0	2
D. Murray, B. Fernando, D. Hunter, V. Krejci, J. Johnson	ATL	3	8	2	4	50	3	7	42.9	1	3	33.3	1	1	100	0	3	3	2	0	1	0	0	3	1	0	1
W. Matthews, B. Bogdanovic, T. Young, D. Hunter, O. Okongwu	ATL	3	11	2	3	66.66666667	3	5	60	1	2	50	4	4	100	0	1	1	2	1	3	0	0	3	2	0	2
W. Matthews, C. Capela, D. Murray, D. Hunter, G. Mathews	ATL	3	5	1	3	33.33333333	2	6	33.3	1	3	33.3	0	0	0	0	4	4	2	1	1	0	1	1	1	0	-3
B. Fernando, T. Forrest, A. Griffin, M. Gueye, K. Bufkin	ATL	3	1	0	1	0	0	4	0	0	3	0	1	2	50	1	1	2	0	3	2	0	0	2	1	0	-9
B. Bogdanovic, B. Fernando, A. Griffin, M. Gueye, K. Bufkin	ATL	3	3	1	5	20	1	6	16.7	0	1	0	1	1	100	1	2	3	1	3	0	0	1	1	1	0	-5
B. Bogdanovic, D. Murray, B. Fernando, G. Mathews, S. Bey	ATL	3	5	1	1	100	2	6	33.3	1	5	20	0	0	0	0	4	4	1	0	1	0	0	1	0	0	3
D. Hunter, G. Mathews, O. Okongwu, S. Bey, T. Forrest	ATL	3	8	1	3	33.33333333	3	7	42.9	2	4	50	0	0	0	2	1	3	3	0	0	0	2	1	0	0	0
P. Mills, W. Matthews, B. Bogdanovic, T. Young, O. Okongwu	ATL	3	6	1	2	50	2	5	40	1	3	33.3	1	2	50	1	2	3	1	2	1	1	0	2	1	0	-2
W. Matthews, B. Bogdanovic, D. Murray, B. Fernando, V. Krejci	ATL	3	7	2	2	100	3	8	37.5	1	6	16.7	0	0	0	1	1	2	2	0	0	0	0	2	0	0	-7
B. Fernando, T. Young, G. Mathews, A. Griffin, M. Gueye	ATL	3	7	3	4	75	3	4	75	0	0	0	1	4	25	0	2	2	3	1	0	0	0	1	2	0	3
C. Capela, B. Bogdanovic, T. Young, S. Bey, A. Griffin	ATL	3	10	2	3	66.66666667	3	5	60	1	2	50	3	4	75	0	0	0	0	0	2	0	0	1	2	0	-1
W. Matthews, T. Young, G. Mathews, O. Okongwu, S. Lundy	ATL	3	7	1	1	100	2	4	50	1	3	33.3	2	2	100	0	3	3	1	1	0	0	0	1	3	0	2
P. Mills, C. Capela, B. Bogdanovic, T. Young, O. Okongwu	ATL	3	10	2	3	66.66666667	4	8	50	2	5	40	0	0	0	2	2	4	3	0	0	1	0	0	0	0	-2
W. Matthews, D. Murray, G. Mathews, O. Okongwu, S. Bey	ATL	3	5	1	1	100	2	5	40	1	4	25	0	0	0	0	0	0	2	1	1	0	0	1	1	0	-3
B. Bogdanovic, T. Young, O. Okongwu, S. Bey, T. Forrest	ATL	3	10	0	0	0	2	4	50	2	4	50	4	4	100	0	2	2	1	1	0	0	0	1	2	0	4
W. Matthews, B. Bogdanovic, B. Fernando, T. Forrest, V. Krejci	ATL	3	4	2	2	100	2	3	66.7	0	1	0	0	0	0	0	3	3	1	0	0	0	0	1	1	0	1
W. Matthews, B. Bogdanovic, G. Mathews, O. Okongwu, T. Forrest	ATL	3	4	2	4	50	2	6	33.3	0	2	0	0	0	0	0	0	0	2	1	1	0	0	2	1	0	-4
C. Capela, D. Murray, D. Hunter, D. Windler, V. Krejci	ATL	3	7	2	4	50	3	7	42.9	1	3	33.3	0	0	0	1	1	2	1	0	0	0	0	1	0	0	-2
C. Capela, D. Murray, T. Young, D. Hunter, G. Mathews	ATL	3	7	2	3	66.66666667	3	5	60	1	2	50	0	0	0	0	4	4	1	0	0	1	1	0	3	0	7
W. Matthews, B. Fernando, D. Hunter, G. Mathews, T. Forrest	ATL	3	2	1	5	20	1	5	20	0	0	0	0	0	0	0	2	2	1	0	0	0	0	1	1	0	-4
W. Matthews, B. Bogdanovic, B. Fernando, D. Hunter, K. Bufkin	ATL	3	2	1	2	50	1	5	20	0	3	0	0	0	0	0	3	3	0	1	0	1	1	0	1	0	0
P. Mills, W. Matthews, B. Bogdanovic, D. Murray, O. Okongwu	ATL	3	9	1	1	100	2	4	50	1	3	33.3	4	5	80	0	4	4	2	0	0	1	0	2	3	0	6
T. Young, G. Mathews, O. Okongwu, S. Bey, S. Lundy	ATL	3	13	2	2	100	4	5	80	2	3	66.7	3	4	75	1	0	1	3	1	0	1	0	2	3	0	4
C. Capela, B. Bogdanovic, T. Young, O. Okongwu, J. Johnson	ATL	3	4	2	4	50	2	6	33.3	0	2	0	0	0	0	2	1	3	1	1	0	0	0	1	0	0	-3
W. Matthews, D. Murray, B. Fernando, G. Mathews, V. Krejci	ATL	3	4	1	4	25	1	6	16.7	0	2	0	2	2	100	1	1	2	0	1	2	0	0	3	3	0	-4
B. Bogdanovic, D. Hunter, S. Bey, J. Johnson, K. Bufkin	ATL	3	9	3	4	75	4	7	57.1	1	3	33.3	0	0	0	1	2	3	2	0	0	1	0	1	0	0	2
T. Young, D. Hunter, O. Okongwu, S. Bey, J. Johnson	ATL	3	9	3	4	75	4	6	66.7	1	2	50	0	0	0	0	3	3	3	0	1	0	0	2	0	0	3
C. Capela, B. Bogdanovic, D. Murray, O. Okongwu, T. Forrest	ATL	3	7	2	3	66.66666667	3	6	50	1	3	33.3	0	0	0	2	2	4	2	0	0	0	0	0	1	0	2
P. Mills, B. Bogdanovic, D. Murray, D. Hunter, O. Okongwu	ATL	3	3	1	5	20	1	6	16.7	0	1	0	1	2	50	2	1	3	0	0	1	0	0	1	1	0	-2
D. Murray, D. Hunter, O. Okongwu, S. Bey, T. Forrest	ATL	3	6	2	3	66.66666667	2	4	50	0	1	0	2	2	100	1	1	2	1	1	0	0	1	1	1	0	0
W. Matthews, D. Murray, B. Fernando, D. Windler, G. Mathews	ATL	3	6	0	1	0	1	6	16.7	1	5	20	3	3	100	3	2	5	1	1	0	1	0	0	1	0	0
W. Matthews, C. Capela, D. Murray, T. Forrest, J. Johnson	ATL	3	5	1	4	25	2	6	33.3	1	2	50	0	0	0	1	2	3	1	1	1	0	0	0	0	0	-3
B. Bogdanovic, B. Fernando, G. Mathews, S. Bey, T. Forrest	ATL	3	2	1	1	100	1	3	33.3	0	2	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	-6
W. Matthews, B. Bogdanovic, D. Hunter, J. Johnson, K. Bufkin	ATL	3	3	0	0	0	1	3	33.3	1	3	33.3	0	0	0	0	2	2	1	1	0	1	0	0	1	0	-2
W. Matthews, C. Capela, D. Murray, S. Bey, K. Bufkin	ATL	3	10	1	1	100	3	5	60	2	4	50	2	4	50	0	4	4	3	0	0	1	0	1	2	0	5
B. Bogdanovic, T. Young, G. Mathews, O. Okongwu, T. Forrest	ATL	2	8	1	1	100	2	3	66.7	1	2	50	3	4	75	0	2	2	1	0	0	0	0	2	2	0	-2
P. Mills, G. Mathews, O. Okongwu, T. Forrest, J. Johnson	ATL	2	3	0	2	0	1	3	33.3	1	1	100	0	0	0	0	1	1	1	3	0	1	1	2	0	0	-5
B. Bogdanovic, B. Fernando, G. Mathews, V. Krejci, K. Bufkin	ATL	2	4	1	1	100	1	2	50	0	1	0	2	2	100	0	1	1	1	2	1	0	0	0	1	0	-1
C. Capela, D. Murray, T. Young, O. Okongwu, J. Johnson	ATL	2	3	0	4	0	1	5	20	1	1	100	0	0	0	1	3	4	0	0	0	0	1	1	1	0	0
W. Matthews, D. Murray, B. Fernando, D. Hunter, S. Bey	ATL	2	2	1	2	50	1	4	25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	-4
B. Fernando, G. Mathews, S. Bey, J. Johnson, K. Bufkin	ATL	2	7	1	2	50	2	3	66.7	1	1	100	2	2	100	1	3	4	0	1	1	0	0	0	1	0	7
C. Capela, B. Bogdanovic, D. Murray, G. Mathews, J. Johnson	ATL	2	9	0	0	0	2	3	66.7	2	3	66.7	3	5	60	1	1	2	1	0	0	0	0	2	2	0	4
W. Matthews, C. Capela, B. Bogdanovic, D. Murray, S. Bey	ATL	2	4	2	3	66.66666667	2	3	66.7	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	-3
C. Capela, B. Bogdanovic, D. Murray, O. Okongwu, J. Johnson	ATL	2	2	1	2	50	1	4	25	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	-10
C. Capela, D. Murray, T. Young, D. Hunter, M. Gueye	ATL	2	10	0	1	0	2	3	66.7	2	2	100	4	6	66.7	1	2	3	1	0	0	0	0	0	3	0	6
W. Matthews, C. Capela, D. Murray, D. Hunter, V. Krejci	ATL	2	3	1	4	25	1	5	20	0	1	0	1	2	50	2	1	3	1	1	0	0	1	1	1	0	-4
D. Windler, T. Forrest, V. Krejci, M. Gueye, K. Bufkin	ATL	2	6	0	2	0	2	4	50	2	2	100	0	0	0	0	1	1	2	1	0	0	0	4	1	0	-1
W. Matthews, B. Fernando, D. Windler, G. Mathews, T. Forrest	ATL	2	5	1	2	50	2	4	50	1	2	50	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0
B. Fernando, G. Mathews, V. Krejci, J. Johnson, K. Bufkin	ATL	2	6	2	3	66.66666667	2	3	66.7	0	0	0	2	2	100	0	3	3	1	1	0	0	0	1	1	0	3
W. Matthews, B. Fernando, G. Mathews, V. Krejci, K. Bufkin	ATL	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	1	0	0	-5
D. Murray, B. Fernando, G. Mathews, S. Bey, V. Krejci	ATL	2	3	0	0	0	1	2	50	1	2	50	0	0	0	1	1	2	1	2	0	0	0	2	0	0	0
D. Murray, T. Young, O. Okongwu, S. Bey, S. Lundy	ATL	2	7	2	2	100	3	4	75	1	2	50	0	0	0	0	3	3	2	0	0	2	0	0	1	0	3
W. Matthews, D. Murray, D. Hunter, G. Mathews, O. Okongwu	ATL	2	2	1	2	50	1	4	25	0	2	0	0	1	0	0	0	0	1	0	0	1	0	2	1	0	-6
B. Bogdanovic, D. Murray, B. Fernando, T. Young, J. Johnson	ATL	2	5	1	2	50	2	4	50	1	2	50	0	0	0	0	1	1	2	0	0	0	0	0	2	0	2
B. Bogdanovic, T. Young, D. Hunter, G. Mathews, O. Okongwu	ATL	2	5	1	1	100	2	4	50	1	3	33.3	0	0	0	0	0	0	1	0	0	0	0	1	1	0	-5
B. Bogdanovic, D. Murray, T. Young, G. Mathews, O. Okongwu	ATL	2	5	1	2	50	1	2	50	0	0	0	3	3	100	0	1	1	1	1	0	0	1	3	2	0	0
